Date,Zone Name,No. of Camp,Nos Attended,No of ILI cases,ILI %,
2020-08-20,THIRU VI KA NAGAR,44,2927,123,4%,123
2020-08-20,AMBATTUR,39,1964,25,1%,25
2020-08-20,ANNA NAGAR,41,1573,123,8%,122
2020-08-20,TEYNAMPET,52,2700,316,12%,316
2020-08-20,KODAMBAKKAM,42,2433,44,2%,42
2020-08-20,VALASARAVAKKAM,32,1635,111,7%,111
2020-08-20,ALANDUR,31,1170,103,9%,103
2020-08-20,ADYAR,42,2117,192,9%,190
2020-08-20,PERUNGUDI,27,1028,163,16%,163
2020-08-20,SOZHINGANALLUR,25,1329,51,4%,51
2020-08-21,THIRUVOTTIYUR,20,577,49,8%,49
2020-08-21,MANALI,8,408,3,1%,1
2020-08-21,MADHAVARAM,12,764,40,5%,40
2020-08-21,TONDIARPET,49,1578,119,8%,119
2020-08-21,ROYAPURAM,30,1259,52,4%,52
2020-08-21,THIRU VI KA NAGAR,53,2772,122,4%,122
2020-08-21,AMBATTUR,38,1815,16,1%,16
2020-08-21,ANNA NAGAR,44,1605,157,10%,156
2020-08-21,TEYNAMPET,52,2288,202,9%,202
2020-08-21,KODAMBAKKAM,37,2066,12,1%,12
2020-08-21,VALASARAVAKKAM,31,1540,116,8%,115
2020-08-21,ALANDUR,30,1101,68,6%,68
2020-08-21,ADYAR,40,1806,143,8%,138
2020-08-21,PERUNGUDI,19,778,138,18%,138
2020-08-21,SOZHINGANALLUR,27,1329,50,4%,50
2020-08-22,THIRUVOTTIYUR,19,309,75,24%,75
2020-08-22,MANALI,6,189,4,2%,4
2020-08-22,MADHAVARAM,10,282,27,10%,27
2020-08-22,TONDIARPET,26,790,47,6%,47
2020-08-22,ROYAPURAM,35,966,54,6%,54
2020-08-22,THIRU VI KA NAGAR,42,1165,120,10%,120
2020-08-22,AMBATTUR,29,1027,17,2%,17
2020-08-22,ANNA NAGAR,19,382,53,14%,53
2020-08-22,TEYNAMPET,50,1542,128,8%,126
2020-08-22,KODAMBAKKAM,35,1923,21,1%,21
2020-08-22,VALASARAVAKKAM,31,1045,73,7%,73
2020-08-22,ALANDUR,31,940,39,4%,39
2020-08-22,ADYAR,36,1349,73,5%,72
2020-08-22,PERUNGUDI,14,565,125,22%,125
2020-08-22,SOZHINGANALLUR,16,689,22,3%,22
2020-08-23,THIRUVOTTIYUR,20,368,69,19%,69
2020-08-23,MANALI,4,114,30,26%,30
2020-08-23,MADHAVARAM,15,453,27,6%,27
2020-08-23,TONDIARPET,38,1175,90,8%,90
2020-08-23,ROYAPURAM,31,886,99,11%,99
2020-08-23,THIRU VI KA NAGAR,41,1188,115,10%,115
2020-08-23,AMBATTUR,33,1240,13,1%,13
2020-08-23,ANNA NAGAR,33,1087,174,16%,173
2020-08-23,TEYNAMPET,53,1568,277,18%,277
2020-08-23,KODAMBAKKAM,41,1961,67,3%,67
2020-08-23,VALASARAVAKKAM,30,1047,88,8%,88
2020-08-23,ALANDUR,22,631,53,8%,53
2020-08-23,ADYAR,23,792,120,15%,118
2020-08-23,PERUNGUDI,17,565,104,18%,104
2020-08-23,SOZHINGANALLUR,9,241,17,7%,17
2020-08-24,THIRUVOTTIYUR,21,718,203,28%,203
2020-08-24,MANALI,10,459,2,0%,2
2020-08-24,MADHAVARAM,14,872,54,6%,54
2020-08-24,TONDIARPET,52,1811,121,7%,121
2020-08-24,ROYAPURAM,37,1556,74,5%,74
2020-08-24,THIRU VI KA NAGAR,49,2885,136,5%,136
2020-08-24,AMBATTUR,36,1881,28,1%,28
2020-08-24,ANNA NAGAR,41,1506,171,11%,171
2020-08-24,TEYNAMPET,53,2403,314,13%,314
2020-08-24,KODAMBAKKAM,34,1649,44,3%,44
2020-08-24,VALASARAVAKKAM,28,1564,85,5%,84
2020-08-24,ALANDUR,31,1037,62,6%,62
2020-08-24,ADYAR,45,2618,177,7%,176
2020-08-24,PERUNGUDI,22,792,101,13%,101
2020-08-24,SOZHINGANALLUR,25,1471,39,3%,39
2020-08-25,THIRUVOTTIYUR,21,754,99,13%,99
2020-08-25,MANALI,10,517,19,4%,19
2020-08-25,MADHAVARAM,14,839,87,10%,87
2020-08-25,TONDIARPET,48,1785,88,5%,88
2020-08-25,ROYAPURAM,38,1599,78,5%,77
2020-08-25,THIRU VI KA NAGAR,49,2838,166,6%,166
2020-08-25,AMBATTUR,36,1866,18,1%,18
2020-08-25,ANNA NAGAR,40,1464,215,15%,215
2020-08-25,TEYNAMPET,53,2397,292,12%,292
2020-08-25,KODAMBAKKAM,35,2105,32,2%,32
2020-08-25,VALASARAVAKKAM,30,1555,82,5%,82
2020-08-25,ALANDUR,31,1200,89,7%,89
2020-08-25,ADYAR,47,2669,205,8%,205
2020-08-25,PERUNGUDI,22,915,127,14%,127
2020-08-25,SOZHINGANALLUR,25,1531,41,3%,41
2020-08-26,THIRUVOTTIYUR,19,821,150,18%,150
2020-08-26,MANALI,10,681,11,2%,11
2020-08-26,MADHAVARAM,15,951,86,9%,86
2020-08-26,TONDIARPET,48,1510,57,4%,57
2020-08-26,ROYAPURAM,39,1709,105,6%,105
2020-08-26,THIRU VI KA NAGAR,46,2646,124,5%,124
2020-08-26,AMBATTUR,36,1873,24,1%,24
2020-08-26,ANNA NAGAR,43,1645,171,10%,171
2020-08-26,TEYNAMPET,53,2690,307,11%,307
2020-08-26,KODAMBAKKAM,40,2166,31,1%,31
2020-08-26,VALASARAVAKKAM,31,1753,111,6%,111
2020-08-26,ALANDUR,31,1060,69,7%,69
2020-08-26,ADYAR,42,2335,208,9%,196
2020-08-26,PERUNGUDI,22,825,122,15%,122
2020-08-26,SOZHINGANALLUR,25,1644,36,2%,36
2020-08-27,THIRUVOTTIYUR,21,814,194,24%,194
2020-08-27,MANALI,10,503,4,1%,4
2020-08-27,MADHAVARAM,13,802,94,12%,94
2020-08-27,TONDIARPET,48,1471,40,3%,40
2020-08-27,ROYAPURAM,37,1428,48,3%,48
2020-08-27,THIRU VI KA NAGAR,53,3014,95,3%,95
2020-08-27,AMBATTUR,37,2004,16,1%,16
2020-08-27,ANNA NAGAR,36,1441,179,12%,179
2020-08-27,TEYNAMPET,53,2381,255,11%,255
2020-08-27,KODAMBAKKAM,38,2458,34,1%,34
2020-08-27,VALASARAVAKKAM,33,1458,105,7%,105
2020-08-27,ALANDUR,31,1137,65,6%,65
2020-08-27,ADYAR,40,2318,209,9%,207
2020-08-27,PERUNGUDI,22,904,126,14%,126
2020-08-27,SOZHINGANALLUR,25,1685,41,2%,41
2020-08-28,THIRUVOTTIYUR,17,529,102,19%,102
2020-08-28,MANALI,10,467,11,2%,11
2020-08-28,MADHAVARAM,15,660,63,10%,63
2020-08-28,TONDIARPET,49,1524,61,4%,61
2020-08-28,ROYAPURAM,35,1208,70,6%,60
2020-08-28,THIRU VI KA NAGAR,47,2599,123,5%,123
2020-08-28,AMBATTUR,42,2167,24,1%,24
2020-08-28,ANNA NAGAR,35,1225,107,9%,107
2020-08-28,TEYNAMPET,52,2209,279,13%,279
2020-08-28,KODAMBAKKAM,43,2255,26,1%,26
2020-08-28,VALASARAVAKKAM,32,1426,78,5%,78
2020-08-28,ALANDUR,31,983,53,5%,53
2020-08-28,ADYAR,45,2356,163,7%,163
2020-08-28,PERUNGUDI,26,933,78,8%,78
2020-08-28,SOZHINGANALLUR,25,1362,26,2%,25
2020-08-29,THIRUVOTTIYUR,19,557,91,16%,91
2020-08-29,MANALI,6,286,5,2%,5
2020-08-29,MADHAVARAM,17,851,60,7%,60
2020-08-29,TONDIARPET,46,1547,77,5%,77
2020-08-29,ROYAPURAM,34,1395,68,5%,68
2020-08-29,THIRU VI KA NAGAR,47,2427,117,5%,117
2020-08-29,AMBATTUR,35,1889,14,1%,14
2020-08-29,ANNA NAGAR,37,1214,103,8%,103
2020-08-29,TEYNAMPET,52,2114,221,10%,221
2020-08-29,KODAMBAKKAM,34,1950,52,3%,52
2020-08-29,VALASARAVAKKAM,33,987,73,7%,73
2020-08-29,ALANDUR,31,821,54,7%,54
2020-08-29,ADYAR,42,2159,176,8%,176
2020-08-29,PERUNGUDI,20,675,124,18%,124
2020-08-29,SOZHINGANALLUR,25,1240,40,3%,40
2020-08-30,THIRUVOTTIYUR,16,287,100,35%,100
2020-08-30,MANALI,6,183,2,1%,2
2020-08-30,MADHAVARAM,11,320,13,4%,13
2020-08-30,TONDIARPET,38,1068,34,3%,34
2020-08-30,ROYAPURAM,33,919,104,11%,100
2020-08-30,THIRU VI KA NAGAR,44,1071,107,10%,107
2020-08-30,AMBATTUR,26,815,2,0%,2
2020-08-30,ANNA NAGAR,28,693,75,11%,75
2020-08-30,TEYNAMPET,47,1446,213,15%,213
2020-08-30,KODAMBAKKAM,37,2078,28,1%,28
2020-08-30,VALASARAVAKKAM,27,858,53,6%,53
2020-08-30,ALANDUR,23,966,75,8%,75
2020-08-30,ADYAR,23,549,167,30%,167
2020-08-30,PERUNGUDI,15,416,73,18%,73
2020-08-30,SOZHINGANALLUR,8,181,2,1%,2
2020-08-31,THIRUVOTTIYUR,17,606,110,18%,110
2020-08-31,MANALI,8,470,5,1%,5
2020-08-31,MADHAVARAM,9,523,60,11%,60
2020-08-31,TONDIARPET,43,1417,58,4%,58
2020-08-31,ROYAPURAM,34,1488,62,4%,62
2020-08-31,THIRU VI KA NAGAR,49,2552,109,4%,109
2020-08-31,AMBATTUR,31,1563,19,1%,19
2020-08-31,ANNA NAGAR,35,1165,99,8%,99
2020-08-31,TEYNAMPET,51,2322,245,11%,245
2020-08-31,KODAMBAKKAM,37,2394,45,2%,45
2020-08-31,VALASARAVAKKAM,27,1088,60,6%,60
2020-08-31,ALANDUR,30,750,36,5%,36
2020-08-31,ADYAR,44,2245,153,7%,153
2020-08-31,PERUNGUDI,24,785,118,15%,118
2020-08-31,SOZHINGANALLUR,25,1232,22,,22
2020-09-01,THIRUVOTTIYUR,18,664,118,18%,118
2020-09-01,MANALI,10,510,8,2%,8
2020-09-01,MADHAVARAM,13,745,50,7%,50
2020-09-01,TONDIARPET,45,1584,43,3%,43
2020-09-01,ROYAPURAM,35,1499,79,5%,77
2020-09-01,THIRU VI KA NAGAR,54,2818,102,4%,102
2020-09-01,AMBATTUR,34,2092,14,1%,14
2020-09-01,ANNA NAGAR,43,1545,130,8%,130
2020-09-01,TEYNAMPET,52,2293,240,10%,240
2020-09-01,KODAMBAKKAM,28,1407,32,2%,32
2020-09-01,VALASARAVAKKAM,26,1197,30,3%,30
2020-09-01,ALANDUR,31,829,36,4%,36
2020-09-01,ADYAR,40,2172,169,8%,166
2020-09-01,PERUNGUDI,28,904,101,11%,101
2020-09-01,SOZHINGANALLUR,25,1363,19,1%,19
2020-09-02,THIRUVOTTIYUR,20,770,71,9%,71
2020-09-02,MANALI,10,519,5,1%,5
2020-09-02,MADHAVARAM,12,865,83,10%,83
2020-09-02,TONDIARPET,43,1448,57,4%,57
2020-09-02,ROYAPURAM,36,1670,73,4%,69
2020-09-02,THIRU VI KA NAGAR,40,2532,63,2%,63
2020-09-02,AMBATTUR,32,1788,24,1%,24
2020-09-02,ANNA NAGAR,38,1683,134,8%,132
2020-09-02,TEYNAMPET,52,2525,206,8%,206
2020-09-02,KODAMBAKKAM,32,1575,51,3%,51
2020-09-02,VALASARAVAKKAM,27,1424,69,5%,69
2020-09-02,ALANDUR,31,976,26,3%,26
2020-09-02,ADYAR,40,2242,162,7%,162
2020-09-02,PERUNGUDI,23,754,82,11%,82
2020-09-02,SOZHINGANALLUR,25,1467,16,1%,16
2020-09-03,THIRUVOTTIYUR,18,602,70,12%,70
2020-09-03,MANALI,8,420,5,1%,5
2020-09-03,MADHAVARAM,12,790,64,8%,64
2020-09-03,TONDIARPET,48,1655,33,2%,33
2020-09-03,ROYAPURAM,35,1121,93,8%,90
2020-09-03,THIRU VI KA NAGAR,45,2618,79,3%,79
2020-09-03,AMBATTUR,31,1617,6,0%,6
2020-09-03,ANNA NAGAR,37,1270,121,10%,121
2020-09-03,TEYNAMPET,51,2395,201,8%,192
2020-09-03,KODAMBAKKAM,34,2068,35,2%,25
2020-09-03,VALASARAVAKKAM,29,1258,56,4%,56
2020-09-03,ALANDUR,31,895,37,4%,37
2020-09-03,ADYAR,39,2357,156,7%,156
2020-09-03,PERUNGUDI,22,804,102,13%,102
2020-09-03,SOZHINGANALLUR,25,1312,27,2%,27
2020-09-04,THIRUVOTTIYUR,16,543,65,12%,65
2020-09-04,MANALI,8,369,6,2%,6
2020-09-04,MADHAVARAM,11,669,84,13%,84
2020-09-04,TONDIARPET,45,1461,45,3%,45
2020-09-04,ROYAPURAM,31,1397,53,4%,51
2020-09-04,THIRU VI KA NAGAR,40,2278,76,3%,76
2020-09-04,AMBATTUR,30,1553,7,0%,7
2020-09-04,ANNA NAGAR,41,1444,135,9%,132
2020-09-04,TEYNAMPET,53,2185,353,16%,352
2020-09-04,KODAMBAKKAM,33,1874,54,3%,54
2020-09-04,VALASARAVAKKAM,27,1290,69,5%,69
2020-09-04,ALANDUR,30,828,40,5%,40
2020-09-04,ADYAR,39,2001,152,8%,152
2020-09-04,PERUNGUDI,24,776,128,16%,128
2020-09-04,SOZHINGANALLUR,25,1256,22,2%,22
2020-09-05,THIRUVOTTIYUR,19,519,46,9%,46
2020-09-05,MANALI,6,308,5,2%,5
2020-09-05,MADHAVARAM,11,664,71,11%,71
2020-09-05,TONDIARPET,49,1599,46,3%,46
2020-09-05,ROYAPURAM,32,1547,57,4%,57
2020-09-05,THIRU VI KA NAGAR,41,2229,61,3%,61
2020-09-05,AMBATTUR,30,1488,10,1%,10
2020-09-05,ANNA NAGAR,35,1212,83,7%,83
2020-09-05,TEYNAMPET,51,2328,342,15%,342
2020-09-05,KODAMBAKKAM,31,1812,27,1%,27
2020-09-05,VALASARAVAKKAM,31,1464,51,3%,51
2020-09-05,ALANDUR,30,901,21,2%,21
2020-09-05,ADYAR,40,2154,156,7%,156
2020-09-05,PERUNGUDI,18,586,84,14%,84
2020-09-05,SOZHINGANALLUR,25,1153,29,3%,29
2020-09-06,MANALI,4,62,2,3%,2
2020-09-06,MADHAVARAM,12,307,15,5%,15
2020-09-06,TONDIARPET,45,1055,32,3%,32
2020-09-06,ROYAPURAM,32,694,28,4%,28
2020-09-06,THIRU VI KA NAGAR,37,1077,48,4%,48
2020-09-06,AMBATTUR,26,905,8,1%,8
2020-09-06,ANNA NAGAR,25,493,90,18%,90
2020-09-06,TEYNAMPET,51,1447,308,21%,308
2020-09-06,KODAMBAKKAM,29,1747,15,1%,15
2020-09-06,VALASARAVAKKAM,29,948,51,5%,51
2020-09-06,ALANDUR,22,558,23,4%,23
2020-09-06,ADYAR,19,459,163,36%,160
2020-09-06,PERUNGUDI,22,654,48,7%,48
2020-09-06,SOZHINGANALLUR,9,202,6,3%,6
2020-09-07,THIRUVOTTIYUR,20,496,44,9%,44
2020-09-07,MANALI,8,576,20,3%,20
2020-09-07,MADHAVARAM,11,652,77,12%,77
2020-09-07,TONDIARPET,43,1351,45,3%,45
2020-09-07,ROYAPURAM,35,1440,73,5%,72
2020-09-07,THIRU VI KA NAGAR,41,2554,118,5%,118
2020-09-07,AMBATTUR,30,1544,16,1%,16
2020-09-07,ANNA NAGAR,31,1067,65,6%,65
2020-09-07,TEYNAMPET,53,2346,290,12%,290
2020-09-07,KODAMBAKKAM,39,2067,33,2%,33
2020-09-07,VALASARAVAKKAM,30,1541,33,2%,33
2020-09-07,ALANDUR,27,749,18,2%,18
2020-09-07,ADYAR,42,2157,159,7%,157
2020-09-07,PERUNGUDI,19,558,112,20%,112
2020-09-07,SOZHINGANALLUR,25,1366,45,3%,45
2020-09-08,THIRUVOTTIYUR,18,640,71,11%,71
2020-09-08,MANALI,6,401,24,6%,24
2020-09-08,MADHAVARAM,9,630,59,9%,59
2020-09-08,TONDIARPET,45,1697,50,3%,50
2020-09-08,ROYAPURAM,40,2057,126,6%,121
2020-09-08,THIRU VI KA NAGAR,44,2671,86,3%,86
2020-09-08,AMBATTUR,30,1582,7,0%,7
2020-09-08,ANNA NAGAR,44,1655,121,7%,121
2020-09-08,TEYNAMPET,51,2398,320,13%,320
2020-09-08,KODAMBAKKAM,38,2255,40,2%,40
2020-09-08,VALASARAVAKKAM,31,1436,49,3%,49
2020-09-08,ALANDUR,34,1319,45,3%,45
2020-09-08,ADYAR,44,2207,222,10%,220
2020-09-08,PERUNGUDI,22,771,150,19%,150
2020-09-08,SOZHINGANALLUR,25,1343,32,2%,32
2020-09-09,THIRUVOTTIYUR,17,684,99,14%,99
2020-09-09,MANALI,8,426,16,4%,16
2020-09-09,MADHAVARAM,11,808,71,9%,71
2020-09-09,TONDIARPET,39,1315,60,5%,60
2020-09-09,ROYAPURAM,33,1775,90,5%,90
2020-09-09,THIRU VI KA NAGAR,38,2434,116,5%,116
2020-09-09,AMBATTUR,33,1825,6,0%,6
2020-09-09,ANNA NAGAR,44,1847,107,6%,107
2020-09-09,TEYNAMPET,51,2615,244,9%,244
2020-09-09,KODAMBAKKAM,36,1846,49,3%,49
2020-09-09,VALASARAVAKKAM,28,1624,45,3%,45
2020-09-09,ALANDUR,34,1331,67,5%,67
2020-09-09,ADYAR,42,2139,169,8%,169
2020-09-09,PERUNGUDI,21,710,140,20%,140
2020-09-09,SOZHINGANALLUR,25,1441,33,2%,33
2020-09-10,THIRUVOTTIYUR,16,530,71,13%,71
2020-09-10,MANALI,8,487,19,4%,19
2020-09-10,MADHAVARAM,12,798,72,9%,72
2020-09-10,TONDIARPET,45,1630,53,3%,53
2020-09-10,ROYAPURAM,37,1792,112,6%,112
2020-09-10,THIRU VI KA NAGAR,38,2507,85,3%,85
2020-09-10,AMBATTUR,34,1855,14,1%,14
2020-09-10,ANNA NAGAR,44,1663,138,8%,138
2020-09-10,TEYNAMPET,52,2324,272,12%,272
2020-09-10,KODAMBAKKAM,40,2070,34,2%,34
2020-09-10,VALASARAVAKKAM,31,1586,70,4%,70
2020-09-10,ALANDUR,32,1114,54,5%,54
2020-09-10,ADYAR,39,2023,182,9%,182
2020-09-10,PERUNGUDI,24,802,192,24%,192
2020-09-10,SOZHINGANALLUR,25,1359,30,2%,29
2020-09-11,THIRUVOTTIYUR,17,520,90,17%,90
2020-09-11,MANALI,6,437,21,5%,21
2020-09-11,MADHAVARAM,14,724,51,7%,51
2020-09-11,TONDIARPET,45,1548,45,3%,45
2020-09-11,ROYAPURAM,32,1797,81,5%,62
2020-09-11,THIRU VI KA NAGAR,39,2207,122,6%,122
2020-09-11,AMBATTUR,36,1781,15,1%,15
2020-09-11,ANNA NAGAR,41,1349,118,9%,118
2020-09-11,TEYNAMPET,52,2322,303,13%,303
2020-09-11,KODAMBAKKAM,30,1768,28,2%,28
2020-09-11,VALASARAVAKKAM,32,1480,77,5%,77
2020-09-11,ALANDUR,32,1134,56,5%,56
2020-09-11,ADYAR,37,1907,191,10%,190
2020-09-11,PERUNGUDI,24,759,117,15%,117
2020-09-11,SOZHINGANALLUR,25,1270,25,2%,25
2020-09-12,THIRUVOTTIYUR,17,523,41,8%,41
2020-09-12,MANALI,4,302,16,5%,16
2020-09-12,MADHAVARAM,14,739,43,6%,43
2020-09-12,TONDIARPET,48,1484,58,4%,58
2020-09-12,ROYAPURAM,32,1295,47,4%,47
2020-09-12,THIRU VI KA NAGAR,41,2155,88,4%,88
2020-09-12,AMBATTUR,28,1444,8,1%,8
2020-09-12,ANNA NAGAR,29,1005,62,6%,62
2020-09-12,TEYNAMPET,51,2016,269,13%,269
2020-09-12,KODAMBAKKAM,43,2311,41,2%,41
2020-09-12,VALASARAVAKKAM,30,1355,60,4%,60
2020-09-12,ALANDUR,28,952,59,6%,59
2020-09-12,ADYAR,34,1603,191,12%,191
2020-09-12,PERUNGUDI,22,804,171,21%,171
2020-09-12,SOZHINGANALLUR,25,1210,19,2%,19
2020-09-13,THIRUVOTTIYUR,15,214,47,22%,47
2020-09-13,MANALI,4,154,4,3%,4
2020-09-13,MADHAVARAM,11,292,18,6%,18
2020-09-13,TONDIARPET,35,762,25,3%,25
2020-09-13,ROYAPURAM,32,681,13,2%,13
2020-09-13,THIRU VI KA NAGAR,32,787,74,9%,74
2020-09-13,AMBATTUR,25,722,3,0%,3
2020-09-13,ANNA NAGAR,29,699,88,13%,88
2020-09-13,TEYNAMPET,47,1334,274,21%,271
2020-09-13,KODAMBAKKAM,31,1413,22,2%,22
2020-09-13,VALASARAVAKKAM,24,782,25,3%,25
2020-09-13,ALANDUR,26,586,14,2%,14
2020-09-13,ADYAR,23,525,97,18%,97
2020-09-13,PERUNGUDI,13,550,130,24%,130
2020-09-13,SOZHINGANALLUR,9,181,1,1%,0
2020-09-14,THIRUVOTTIYUR,16,513,51,10%,51
2020-09-14,MANALI,4,203,12,6%,12
2020-09-14,MADHAVARAM,12,758,76,10%,76
2020-09-14,TONDIARPET,39,1197,53,4%,53
2020-09-14,ROYAPURAM,30,1571,51,3%,49
2020-09-14,THIRU VI KA NAGAR,43,2647,86,3%,86
2020-09-14,AMBATTUR,35,1811,15,1%,15
2020-09-14,ANNA NAGAR,38,1521,118,8%,118
2020-09-14,TEYNAMPET,51,2106,261,12%,261
2020-09-14,KODAMBAKKAM,39,2103,23,1%,8
2020-09-14,VALASARAVAKKAM,31,1480,50,3%,50
2020-09-14,ALANDUR,34,1054,44,4%,44
2020-09-14,ADYAR,40,1788,155,9%,155
2020-09-14,PERUNGUDI,20,749,135,18%,135
2020-09-14,SOZHINGANALLUR,25,1294,30,2%,30
2020-09-15,THIRUVOTTIYUR,18,679,69,10%,69
2020-09-15,MANALI,4,253,19,8%,19
2020-09-15,MADHAVARAM,12,777,86,11%,86
2020-09-15,TONDIARPET,38,1250,42,3%,42
2020-09-15,ROYAPURAM,23,1134,60,5%,60
2020-09-15,THIRU VI KA NAGAR,43,2521,88,3%,88
2020-09-15,AMBATTUR,30,1369,23,2%,23
2020-09-15,ANNA NAGAR,39,1636,84,5%,84
2020-09-15,TEYNAMPET,50,2332,265,11%,265
2020-09-15,KODAMBAKKAM,35,1076,49,5%,49
2020-09-15,VALASARAVAKKAM,29,1216,33,3%,33
2020-09-15,ALANDUR,34,1009,37,4%,37
2020-09-15,ADYAR,39,2119,173,8%,173
2020-09-15,PERUNGUDI,26,847,158,19%,158
2020-09-15,SOZHINGANALLUR,25,1318,23,2%,23
2020-09-16,THIRUVOTTIYUR,15,548,75,14%,75
2020-09-16,MANALI,4,292,21,7%,21
2020-09-16,MADHAVARAM,11,779,66,8%,66
2020-09-16,TONDIARPET,38,1228,38,3%,38
2020-09-16,ROYAPURAM,30,1420,50,4%,50
2020-09-16,THIRU VI KA NAGAR,37,2598,94,4%,94
2020-09-16,AMBATTUR,31,1806,16,1%,16
2020-09-16,ANNA NAGAR,39,1566,68,4%,68
2020-09-16,TEYNAMPET,47,2336,249,11%,249
2020-09-16,KODAMBAKKAM,36,1731,40,2%,40
2020-09-16,VALASARAVAKKAM,28,1566,43,3%,43
2020-09-16,ALANDUR,36,1329,49,4%,49
2020-09-16,ADYAR,39,1880,130,7%,128
2020-09-16,PERUNGUDI,26,866,146,17%,146
2020-09-16,SOZHINGANALLUR,25,1423,16,1%,16
2020-09-17,THIRUVOTTIYUR,12,419,22,5%,22
2020-09-17,MANALI,8,405,10,2%,10
2020-09-17,MADHAVARAM,10,622,48,8%,48
2020-09-17,TONDIARPET,43,1642,47,3%,47
2020-09-17,ROYAPURAM,28,1212,34,3%,34
2020-09-17,THIRU VI KA NAGAR,37,2214,74,3%,74
2020-09-17,AMBATTUR,32,1571,24,2%,24
2020-09-17,ANNA NAGAR,47,1870,127,7%,127
2020-09-17,TEYNAMPET,49,1942,197,10%,197
2020-09-17,KODAMBAKKAM,41,1874,42,2%,40
2020-09-17,VALASARAVAKKAM,30,1234,41,3%,41
2020-09-17,ALANDUR,36,1148,43,4%,43
2020-09-17,ADYAR,38,1884,165,9%,163
2020-09-17,PERUNGUDI,24,772,120,16%,120
2020-09-17,SOZHINGANALLUR,25,1315,27,2%,27
2020-09-18,THIRUVOTTIYUR,13,462,47,10%,47
2020-09-18,MANALI,8,438,6,1%,6
2020-09-18,MADHAVARAM,11,691,74,11%,74
2020-09-18,TONDIARPET,47,1523,45,3%,45
2020-09-18,ROYAPURAM,27,1151,45,4%,45
2020-09-18,THIRU VI KA NAGAR,43,2399,77,3%,77
2020-09-18,AMBATTUR,33,1481,14,1%,14
2020-09-18,ANNA NAGAR,38,1572,96,6%,96
2020-09-18,TEYNAMPET,49,2270,185,8%,185
2020-09-18,KODAMBAKKAM,34,1574,55,3%,51
2020-09-18,VALASARAVAKKAM,29,1383,33,2%,33
2020-09-18,ALANDUR,30,1037,40,4%,40
2020-09-18,ADYAR,39,1990,171,9%,171
2020-09-18,PERUNGUDI,26,916,166,18%,166
2020-09-18,SOZHINGANALLUR,25,1147,10,1%,10
2020-09-19,THIRUVOTTIYUR,15,414,68,16%,68
2020-09-19,MANALI,6,428,16,4%,16
2020-09-19,MADHAVARAM,10,612,56,9%,56
2020-09-19,TONDIARPET,41,1405,40,3%,40
2020-09-19,ROYAPURAM,29,1230,46,4%,46
2020-09-19,THIRU VI KA NAGAR,43,2192,76,3%,76
2020-09-19,AMBATTUR,36,1590,9,1%,9
2020-09-19,ANNA NAGAR,41,1554,86,6%,86
2020-09-19,TEYNAMPET,47,2138,186,9%,186
2020-09-19,KODAMBAKKAM,31,1280,37,3%,37
2020-09-19,VALASARAVAKKAM,31,1336,16,1%,16
2020-09-19,ALANDUR,36,992,25,3%,25
2020-09-19,ADYAR,39,1817,139,8%,139
2020-09-19,PERUNGUDI,19,623,138,22%,129
2020-09-19,SOZHINGANALLUR,25,1213,24,2%,24
2020-09-20,THIRUVOTTIYUR,15,159,25,16%,25
2020-09-20,MANALI,4,75,5,7%,5
2020-09-20,MADHAVARAM,9,226,14,6%,14
2020-09-20,TONDIARPET,42,808,26,3%,26
2020-09-20,ROYAPURAM,30,599,47,8%,47
2020-09-20,THIRU VI KA NAGAR,41,1146,53,5%,53
2020-09-20,AMBATTUR,30,881,5,1%,5
2020-09-20,ANNA NAGAR,20,445,38,9%,38
2020-09-20,TEYNAMPET,47,1458,274,19%,274
2020-09-20,KODAMBAKKAM,29,1344,22,2%,22
2020-09-20,VALASARAVAKKAM,21,716,17,2%,17
2020-09-20,ALANDUR,26,424,13,3%,13
2020-09-20,ADYAR,23,656,72,11%,72
2020-09-20,PERUNGUDI,14,525,43,8%,43
2020-09-20,SOZHINGANALLUR,7,134,0,0%,0
2020-09-21,THIRUVOTTIYUR,14,527,81,15%,81
2020-09-21,MANALI,8,497,18,4%,18
2020-09-21,MADHAVARAM,11,781,48,6%,48
2020-09-21,TONDIARPET,47,1781,50,3%,50
2020-09-21,ROYAPURAM,30,1309,77,6%,77
2020-09-21,THIRU VI KA NAGAR,44,2251,95,4%,95
2020-09-21,AMBATTUR,37,1758,11,1%,11
2020-09-21,ANNA NAGAR,30,1573,73,5%,73
2020-09-21,TEYNAMPET,47,2249,309,14%,309
2020-09-21,KODAMBAKKAM,34,1707,35,2%,35
2020-09-21,VALASARAVAKKAM,24,1422,52,4%,52
2020-09-21,ALANDUR,34,1200,32,3%,32
2020-09-21,ADYAR,40,2244,173,8%,169
2020-09-21,PERUNGUDI,24,789,147,19%,146
2020-09-21,SOZHINGANALLUR,25,1413,23,2%,20
2020-09-22,THIRUVOTTIYUR,16,554,49,9%,49
2020-09-22,MANALI,6,402,15,4%,15
2020-09-22,MADHAVARAM,11,715,42,6%,42
2020-09-22,TONDIARPET,41,1493,39,3%,39
2020-09-22,ROYAPURAM,30,1394,58,4%,58
2020-09-22,THIRU VI KA NAGAR,40,2458,83,3%,83
2020-09-22,AMBATTUR,32,1500,17,1%,17
